"Provisional Population Totals, Census of India 2011",,,,,,,,,,,,,,,,,,
Cities having population 1 lakh and above,,,,,,,,,,,,,,,,,,
State Code,State Name,Level,District Code,Name of City,Population ,,,0-6 Population,,,Literates,,,Sex Ratio,Child Sex Ratio (0-6 Years,Effective Literacy Rate (7+ Pop),,
,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,,,Persons,Males,Females
33,TAMIL NADU,7,17,Nagapattinam (M),"1,02,838","50,809","52,029","11,308","5,858","5,450","81,913","42,374","39,539",1024,930,89.49,94.27,84.89
33,TAMIL NADU,71,19,Kumbakonam (M),"1,40,113","69,350","70,763","11,972","6,032","5,940","1,17,500","60,262","57,238",1020,985,91.7,95.17,88.3
33,TAMIL NADU,71,19,Thanjavur (M),"2,22,619","1,09,291","1,13,328","18,584","9,581","9,003","1,86,643","94,696","91,947",1037,940,91.48,94.97,88.14
33,TAMIL NADU,7,20,Pudukkottai (M),"1,17,215","58,601","58,614","10,853","5,566","5,287","98,054","50,798","47,256",1000,950,92.19,95.78,88.62
33,TAMIL NADU,71,21,Karaikkudi (M),"1,06,793","53,425","53,368","9,940","5,045","4,895","88,380","46,114","42,266",999,970,91.25,95.32,87.19
33,TAMIL NADU,71,22,Madurai (M Corp.),"10,16,885","5,09,313","5,07,572","91,497","46,785","44,712","8,45,990","4,40,419","4,05,571",997,956,91.42,95.22,87.62
33,TAMIL NADU,7,24,Rajapalayam (M),"1,30,119","64,624","65,495","10,504","5,371","5,133","1,03,172","54,622","48,550",1013,956,86.25,92.18,80.43
33,TAMIL NADU,71,26,Thoothukkudi (M Corp.),"2,37,374","1,18,039","1,19,335","23,443","11,864","11,579","2,02,105","1,02,369","99,736",1011,976,94.47,96.42,92.56
33,TAMIL NADU,71,27,Tirunelveli (M Corp.),"4,74,838","2,34,643","2,40,195","43,988","22,511","21,477","3,91,972","2,01,509","1,90,463",1024,954,90.98,94.99,87.08
33,TAMIL NADU,7,28,Nagercoil (M),"2,24,329","1,10,132","1,14,197","19,034","9,599","9,435","1,95,748","97,545","98,203",1037,983,95.35,97.03,93.74
33,TAMIL NADU,71,30,Hosur (M),"1,16,821","59,411","57,410","13,288","6,746","6,542","91,358","48,225","43,133",966,970,88.24,91.57,84.79
33,TAMIL NADU,71,31,Coimbatore (M Corp.),"10,61,447","5,31,017","5,30,430","96,261","49,040","47,221","8,85,471","4,57,982","4,27,489",999,963,91.74,95.02,88.47
33,TAMIL NADU,71,31,Kurichi (M),"1,25,800","63,033","62,767","12,092","6,111","5,981","1,02,816","53,578","49,238",996,979,90.42,94.13,86.71
33,TAMIL NADU,71,32,Tiruppur (M Corp.),"4,44,543","2,27,469","2,17,074","45,091","23,039","22,052","3,50,206","1,89,496","1,60,710",954,957,87.67,92.69,82.41
34,PUDUCHERRY,71,2,Puducherry (M),"2,41,773","1,18,205","1,23,568","22,412","11,245","11,167","1,95,861","1,00,419","95,442",1045,993,89.29,93.88,84.91
34,PUDUCHERRY,71,2,Ozhukarai (M),"3,00,028","1,48,154","1,51,874","29,214","14,910","14,304","2,44,264","1,26,663","1,17,601",1025,959,90.2,95.06,85.48
35,ANDAMAN & NICOBAR ISLANDS,7,3,Port Blair (MC),"1,00,608","53,247","47,361","9,358","4,852","4,506","81,908","44,908","37,000",889,929,89.76,92.79,86.34
Note:,,,,,,,,,,,,,,,,,,
"            The Cities having District code ""99"" spread over more than one Districts. ",,,,,,,,,,,,,,,,,,
